disease,tip
Alzheimer's Disease ,"Cholinesterase inhibitors.These medicines work by boosting levels of cell-to-cell communication. The medicines preserve a chemical messenger that is depleted in the brain by Alzheimer's disease. These are usually the first medicines tried, and most people see modest improvements in symptoms.Cholinesterase inhibitors may improve symptoms related to behavior, such as agitation or depression. The medicines are taken orally or delivered through a patch on the skin. Commonly prescribed cholinesterase inhibitors include donepezil (Aricept, Adlarity), galantamine (Razadyne) and rivastigmine transdermal patch (Exelon).The main side effects of these drugs include diarrhea, nausea, loss of appetite and sleep disturbances. In people with certain heart disorders, serious side effects may include an irregular heartbeat."
Alzheimer's Disease ,Memantine (Namenda).This medicine works in another brain cell communication network and slows the progression of symptoms with moderate to severe Alzheimer's disease. It's sometimes used in combination with a cholinesterase inhibitor. Relatively rare side effects include dizziness and confusion.
Arboviral Encephalitis ,Bed rest.
Arboviral Encephalitis ,Plenty of fluids.
Arboviral Encephalitis ,"Anti-inflammatory medicines — such as acetaminophen (Tylenol, others), ibuprofen (Advil, Motrin IB, others) and naproxen sodium (Aleve) — to relieve headaches and fevers."
Arthritis ,"NSAIDs.Nonsteroidal anti-inflammatory drugs (NSAIDs) can relieve pain and reduce inflammation. Examples include ibuprofen (Advil, Motrin IB, others) and naproxen sodium (Aleve). StrongerNSAIDscan cause stomach irritation and may increase your risk of heart attack or stroke.NSAIDsare also available as creams or gels, which can be rubbed on joints."
Arthritis ,"Counterirritants.Some varieties of creams and ointments contain menthol or capsaicin, the ingredient that makes hot peppers spicy. Rubbing these preparations on the skin over your aching joint may interfere with the transmission of pain signals from the joint itself."
Arthritis ,"Steroids.Corticosteroid medications, such as prednisone, reduce inflammation and pain and slow joint damage. Corticosteroids may be given as a pill or as an injection into the painful joint. Side effects may include thinning of bones, weight gain and diabetes."
Arthritis ,"Disease-modifying antirheumatic drugs (DMARDs).These drugs can slow the progression of rheumatoid arthritis and save the joints and other tissues from permanent damage. In addition to conventionalDMARDs, there are also biologic agents and targeted syntheticDMARDs. Side effects vary but mostDMARDsincrease your risk of infections."
Asthma ,"Inhaled corticosteroids.These medications include fluticasone propionate (Flovent HFA, Flovent Diskus, Xhance), budesonide (Pulmicort Flexhaler, Pulmicort Respules, Rhinocort), ciclesonide (Alvesco), beclomethasone (Qvar Redihaler), mometasone (Asmanex HFA, Asmanex Twisthaler) and fluticasone furoate (Arnuity Ellipta).You may need to use these medications for several days to weeks before they reach their maximum benefit. Unlike oral corticosteroids, inhaled corticosteroids have a relatively low risk of serious side effects."
Asthma ,"Leukotriene modifiers.These oral medications — including montelukast (Singulair), zafirlukast (Accolate) and zileuton (Zyflo) — help relieve asthma symptoms.Montelukast has been linked to psychological reactions, such as agitation, aggression, hallucinations, depression and suicidal thinking. Seek medical advice right away if you experience any of these reactions."
Asthma ,"Combination inhalers.These medications — such as fluticasone-salmeterol (Advair HFA, Airduo Digihaler, others), budesonide-formoterol (Symbicort), formoterol-mometasone (Dulera) and fluticasone furoate-vilanterol (Breo Ellipta) — contain a long-acting beta agonist along with a corticosteroid."
Asthma ,"Theophylline.Theophylline (Theo-24, Elixophyllin, Theochron) is a daily pill that helps keep the airways open by relaxing the muscles around the airways. It's not used as often as other asthma medications and requires regular blood tests."
Bacterial Vaginosis ,"Metronidazole (Flagyl, Metrogel-Vaginal, others).This medicine comes as a pill or topical gel. You swallow the pill, but the gel is inserted into your vagina. Avoid alcohol while using this medicine and for a full day afterward. It might cause nausea or stomach pain. Check the instructions on the product."
Bacterial Vaginosis ,"Clindamycin (Cleocin, Clindesse, others).This medicine comes as a cream that you insert into the vagina. Or you can use the pill or suppository form. The cream and suppositories may weaken latex condoms. Avoid sex during treatment and for at least three days after you stop using the medicine. Or use another method of birth control."
Bacterial Vaginosis ,Tinidazole (Tindamax).You take this medicine by mouth. It can cause stomach upset. So avoid alcohol during treatment and for at least three days after completing treatment.
Bacterial Vaginosis ,"Secnidazole (Solosec).This is an antibiotic you eat one time with food. It comes as a packet of granules that you sprinkle onto a soft food, such as applesauce, pudding or yogurt. You eat the mixture within 30 minutes. But take care not to crunch or chew the granules."
Bladder Cancer ,"Surgery,to remove the cancer cells"
Bladder Cancer ,"Chemotherapy in the bladder (intravesical chemotherapy),to treat cancers that are confined to the lining of the bladder but have a high risk of recurrence or progression to a higher stage"
Bladder Cancer ,"Chemotherapy for the whole body (systemic chemotherapy),to increase the chance for a cure in a person having surgery to remove the bladder, or as a primary treatment when surgery isn't an option"
Bladder Cancer ,"Radiation therapy,to destroy cancer cells, often as a primary treatment when surgery isn't an option or isn't desired"
Bladder Cancer ,"Immunotherapy,to trigger the body's immune system to fight cancer cells, either in the bladder or throughout the body"
