disease,tip
Alzheimer's Disease ,"Cholinesterase inhibitors.These medicines work by boosting levels of cell-to-cell communication. The medicines preserve a chemical messenger that is depleted in the brain by Alzheimer's disease. These are usually the first medicines tried, and most people see modest improvements in symptoms.Cholinesterase inhibitors may improve symptoms related to behavior, such as agitation or depression. The medicines are taken by mouth or through a patch on the skin. Commonly prescribed cholinesterase inhibitors include donepezil (Aricept, Adlarity), galantamine and rivastigmine transdermal patch (Exelon).The main side effects of these medicines include diarrhea, nausea, loss of appetite and trouble with sleep. In people with certain heart conditions, serious side effects may include an irregular heartbeat."
Alzheimer's Disease ,Memantine (Namenda).This medicine works in another brain cell communication network and slows the progression of symptoms with moderate to severe Alzheimer's disease. It's sometimes used in combination with a cholinesterase inhibitor. Relatively rare side effects include dizziness and confusion.
Dementia Capability in Illinois,"Cholinesterase inhibitors.These medicines work by boosting levels of a chemical messenger involved in memory and judgment. They include donepezil (Aricept, Adlarity), rivastigmine (Exelon) and galantamine (Zunveyl).Although primarily used to treat Alzheimer's disease, these medicines also might be prescribed for other dementias. They might be prescribed for people with vascular dementia, Parkinson's disease dementia and Lewy body dementia.Side effects can include nausea, vomiting and diarrhea. Other possible side effects include slowed heart rate, fainting and trouble with sleep."
Dementia Capability in Illinois,Memantine (Namenda).Memantine works by regulating the activity of glutamate. Glutamate is another chemical messenger involved in brain functions such as learning and memory. Memantine is sometimes prescribed with a cholinesterase inhibitor. A common side effect of memantine is dizziness.
Dementia Capability in Illinois,"Other medicines.You might take other medicines to treat symptoms or other conditions. You may need treatment for depression, trouble with sleep, hallucinations, agitation, and slow and stiff movements known as parkinsonism."
2025 Dementia Annual Report,"Cholinesterase inhibitors.These medicines work by boosting levels of a chemical messenger involved in memory and judgment. They include donepezil (Aricept, Adlarity), rivastigmine (Exelon) and galantamine (Zunveyl).Although primarily used to treat Alzheimer's disease, these medicines also might be prescribed for other dementias. They might be prescribed for people with vascular dementia, Parkinson's disease dementia and Lewy body dementia.Side effects can include nausea, vomiting and diarrhea. Other possible side effects include slowed heart rate, fainting and trouble with sleep."
2025 Dementia Annual Report,Memantine (Namenda).Memantine works by regulating the activity of glutamate. Glutamate is another chemical messenger involved in brain functions such as learning and memory. Memantine is sometimes prescribed with a cholinesterase inhibitor. A common side effect of memantine is dizziness.
2025 Dementia Annual Report,"Other medicines.You might take other medicines to treat symptoms or other conditions. You may need treatment for depression, trouble with sleep, hallucinations, agitation, and slow and stiff movements known as parkinsonism."
2021 Dementia Annual Report,"Cholinesterase inhibitors.These medicines work by boosting levels of cell-to-cell communication. The medicines preserve a chemical messenger that is depleted in the brain by Alzheimer's disease. These are usually the first medicines tried, and most people see modest improvements in symptoms.Cholinesterase inhibitors may improve symptoms related to behavior, such as agitation or depression. The medicines are taken by mouth or through a patch on the skin. Commonly prescribed cholinesterase inhibitors include donepezil (Aricept, Adlarity), galantamine and rivastigmine transdermal patch (Exelon).The main side effects of these medicines include diarrhea, nausea, loss of appetite and trouble with sleep. In people with certain heart conditions, serious side effects may include an irregular heartbeat."
2021 Dementia Annual Report,Memantine (Namenda).This medicine works in another brain cell communication network and slows the progression of symptoms with moderate to severe Alzheimer's disease. It's sometimes used in combination with a cholinesterase inhibitor. Relatively rare side effects include dizziness and confusion.
